['52189', '52214']
['52214', '52248']
['52248', '52270']
['52270', '52299']
['52299', '52317']
['52317', '52350']
['52350', '52371']
['52371', '52392']
['52392', '52426']
['52426', '52465']
['52465', '52497']
['52497', '52465']
['1', '50351']
['50351', '50409']
['50409', '55334']
['55334', '55337']
['55337', '61542']
['61542', '55073']
['55073', '55098']
['55098', '55110']
['55110', '55117']
['55117', '55130']
['55130', '55141']
['55141', '55156']
['55156', '55171']
['55171', '55183']
['55183', '55193']
['55193', '55208']
['55208', '55224']
['55224', '55329']
['55329', '55317']
['51220', '54138']
['54138', '54053']
['54053', '51422']
['51422', '51443']
['51443', '51488']
['51488', '51543']
['51543', '51590']
['51590', '51621']
['51691', '51720']
['51720', '51807']
['51807', '51889']
['60901', '60305']
['60305', '52264']
['52264', '52378']
['52378', '53977']
['53977', '54061']
['54061', '52655']
['52655', '54271']
['54271', '61201']
['61201', '61742']
['61742', '54371']
['54371', '61606']
['55171', '55197']
['55197', '55209']
['55209', '55227']
['55227', '55244']
['55244', '55285']
['53929', '52157']
['52157', '52217']
['52217', '52264']
['52264', '60305']
['60305', '60312']
['60312', '52125']
['54073', '52429']
['52429', '52519']
['52519', '52558']
['52558', '52727']
['52727', '52824']
['52824', '52932']
['52932', '53026']
['53026', '60395']
['60395', '60516']
['60516', '60517']
['60517', '60518']
['60518', '60519']
['60519', '53224']
['53224', '61606']
['61606', '54371']
['54371', '60319']
['60319', '60520']
['60520', '60320']
['60320', '53026']
['53026', '53026']
['54160', '54160']
['54160', '50766']
['50766', '50716']
['50716', '50648']
['50648', '50576']
['50576', '50597']
['50597', '50614']
['50614', '50623']
['50623', '50662']
['50662', '50689']
['50689', '50727']
['50727', '50762']
['50762', '50799']
['50799', '50828']
['50828', '56320']
['56320', '56320']
['56320', '56324']
['56324', '56328']
['56328', '50986']
['50986', '51018']
['51018', '51018']
['51018', '98']
['98', '51086']
['51086', '51119']
['51119', '51146']
['51146', '51175']
['51175', '53677']
['53677', '51252']
['51252', '51229']
['51229', '51167']
['51167', '51214']
['51214', '56']
['56', '56']
['56', '51287']
['51287', '51319']
['51319', '57']
['57', '57']
['57', '56175']
['56175', '56188']
['56188', '56194']
['56194', '56199']
['56199', '56205']
['56205', '56207']
['56207', '56211']
['56211', '51712']
['51712', '51765']
['51765', '51828']
['51828', '51855']
['51855', '51920']
['51920', '8']
['50715', '50675']
['50675', '50624']
['50624', '50657']
['50657', '50681']
['50681', '50670']
['50670', '50668']
['55737', '55748']
['55748', '55340']
['55340', '55823']
['55823', '55822']
['55822', '55769']
['55769', '55821']
['55821', '53829']
['53829', '50490']
['50490', '50453']
['50453', '61021']
['61021', '50361']
['50361', '50380']
['54344', '50519']
['3', '50813']
['50813', '50859']
['50859', '50860']
['50860', '50978']
['50978', '50920']
['50920', '50852']
['50852', '50772']
['50772', '50834']
['50834', '50876']
['50610', '61118']
['50803', '50718']
['52947', '52918']
['52918', '52806']
['52806', '52782']
['52782', '52710']
['52710', '30']
['30', '30']
['30', '52510']
['52510', '52400']
['52400', '52313']
['52103', '52039']
['52039', '51966']
['51966', '51875']
['51875', '51828']
['51828', '51786']
['51786', '51748']
['51748', '51705']
['51705', '51643']
['51643', '51572']
['51572', '51505']
['51505', '51441']
['51441', '54398']
['54398', '54280']
['54280', '51249']
['51249', '61']
['61', '51149']
['51149', '51067']
['51067', '51006']
['51006', '50934']
['50934', '50868']
['50868', '50785']
['50785', '50668']
['50668', '50620']
['50620', '50564']
['50564', '61028']
['61028', '54344']
['50456', '50422']
['50422', '50390']
['50390', '50355']
['50355', '50336']
['50336', '50309']
['50309', '50295']
['50295', '50300']
['50300', '1']
['52148', '53775']
['53775', '54166']
['54166', '56306']
['52197', '52238']
['52238', '52328']
['52328', '52425']
['52425', '52500']
['52500', '61743']
['61743', '52674']
['52674', '52605']
['52605', '53723']
['53723', '52725']
['52725', '52799']
['52799', '52716']
['52716', '52623']
['52623', '37']
['37', '52633']
['52633', '52690']
['52690', '52740']
['52740', '52818']
['52818', '52871']
['52871', '52887']
['52887', '52893']
['52893', '54233']
['54233', '54229']
['54229', '53049']
['53049', '54232']
['54232', '54229']
['54229', '53029']
['53029', '54231']
['54231', '52912']
['52912', '53899']
['53899', '53869']
['57072', '56977']
['56977', '56978']
['56978', '56987']
['56987', '56997']
['56997', '57006']
['57006', '57028']
['57028', '57015']
['57015', '57017']
['57017', '57073']
['57073', '57021']
['57021', '57021']
['57021', '57025']
['57025', '56504']
['56504', '56506']
['56506', '56510']
['56510', '56514']
['56514', '56525']
['56525', '56701']
['56701', '57063']
['57063', '56536']
['56536', '56566']
['56566', '56694']
['56694', '56610']
['56610', '56617']
['56617', '56705']
['56705', '56619']
['56619', '56621']
['56621', '56627']
['56627', '56629']
['56629', '39']
['39', '39']
['39', '56638']
['56638', '56639']
['56639', '38']
['56639', '56718']
['56718', '56719']
['56719', '60540']
['60540', '52818']
['52893', '52912']
['53869', '52926']
['52926', '52913']
['32', '32']
['52078', '56302']
['56302', '56296']
['56296', '56293']
['56293', '56292']
['56292', '56288']
['56288', '56283']
['56283', '56280']
['56280', '56276']
['56276', '56270']
['56270', '56261']
['56261', '56253']
['56253', '51496']
['51496', '51461']
['51129', '51071']
['51071', '51024']
['51024', '50966']
['50966', '60662']
['65', '60394']
['60394', '55574']
['55574', '55548']
['55548', '55531']
['55531', '55868']
['55868', '55504']
['55504', '55490']
['55490', '55476']
['55476', '55470']
['55470', '55457']
['55457', '50191']
['50191', '55820']
['55820', '53758']
['53758', '50171']
['50171', '50161']
['50161', '50150']
['50150', '50150']
['52285', '52328']
['52328', '34']
['34', '52115']
['52115', '52044']
['52044', '51984']
['51984', '53761']
['53761', '51840']
['51840', '51714']
['51714', '51680']
['51680', '56269']
['56269', '56264']
['56264', '56259']
['56259', '56247']
['56247', '56240']
['56240', '56233']
['56233', '56229']
['56229', '56226']
['56226', '56224']
['56224', '51307']
['51307', '51237']
['51237', '51179']
['51179', '51158']
['51158', '51129']
['51071', '51010']
['51010', '56325']
['56325', '56320']
['56320', '50776']
['50776', '56316']
['56316', '56414']
['56414', '50677']
['50677', '50637']
['50637', '50618']
['50618', '56413']
['25', '53012']
['53012', '52922']
['52922', '52815']
['52815', '53825']
['53825', '52651']
['52651', '52523']
['52523', '52431']
['52431', '52350']
['52350', '52239']
['52239', '52158']
['52158', '52107']
['52107', '52046']
['52046', '51946']
['51946', '51838']
['51838', '51743']
['51743', '60617']
['60617', '51630']
['51630', '64']
['64', '51519']
['51519', '51471']
['51471', '51394']
['51394', '51359']
['51359', '51360']
['51360', '51277']
['51277', '51224']
['51224', '51143']
['51143', '51079']
['51079', '51001']
['51001', '50932']
['50932', '50880']
['50880', '50814']
['50814', '50732']
['50732', '55078']
['55078', '55057']
['55057', '55046']
['55046', '55334']
['58085', '58085']
['58085', '58320']
['58320', '58292']
['58292', '58258']
['58258', '60582']
['60582', '58255']
['58255', '58253']
['58253', '58298']
['58298', '58259']
['58259', '58232']
['58232', '58239']
['58239', '58241']
['58241', '58083']
['58083', '58261']
['58261', '58093']
['58093', '58093']
['58093', '58263']
['58263', '58075']
['58075', '58264']
['58264', '58308']
['58308', '58118']
['58118', '58266']
